id	parent_id	position	step_name	step_desc	organism	sop_url	duration_in_days	part_of_service	comments	success_rate	created	last_modified
332	23	2	*** Obtain SBML models for production hosts		NULL		NULL	NULL		NULL	2019-01-16 11:52:54 UTC	2019-01-23 09:53:06
333	23	3	*** Obtain annotated genomes of production hosts		NULL		NULL	NULL		NULL	2019-01-16 11:53:42 UTC	2019-01-23 09:53:32
334	23	4	*** Receive name of product		NULL		NULL	NULL		NULL	2019-01-16 11:54:11 UTC	NULL
24	22	2	** Receive input from #Upscale #Test-HighThroughput #Test-Bioreactor and #build	NULL	NULL	NULL	NULL	NULL		NULL	2018-11-14 14:13:12 UTC	NULL
25	24	1	*** Physiological constraints	NULL	NULL	NULL	NULL	NULL		NULL	2018-11-14 14:13:12 UTC	NULL
26	25	1	**** Oxygen requirements, pH, solvent, carbon source, substrate and product toxicity, product related energetics, light, temperature	NULL	NULL	NULL	NULL	NULL		NULL	2018-11-14 14:13:12 UTC	NULL
27	24	2	*** Process constraints.	NULL	NULL	NULL	NULL	NULL	(TODO write the steps @NTUA)	NULL	2018-11-14 14:13:12 UTC	NULL
28	27	1	**** Pressure, ...		NULL		NULL	NULL	Product separation requirements; e.g. low pH, minimum titer, unwanted side products that significantly increase the separation cost, etc.	NULL	2018-11-14 14:13:12 UTC	NULL
29	22	4	** Execution of Design		NULL		NULL	NULL		NULL	2018-11-14 14:13:12 UTC	2019-03-22 11:35:33
30	29	1	*** Design production strain		NULL		NULL	NULL	We might need to rethink this 'Design the chassis' step. Right now it is a bit chaotic and some of the steps inside it are copies of steps mentioned elsewhere. This step can be divided in two parts: 1) deletion of genes; 2) addition of genes. Both parts will contain mandatory genes and genes that could be beneficial (we need some sort of filter or quality check to distinguish between them) . These two types of genes need different follow-up steps. Who is responsible for this step? Maybe they could take a look at it?	NULL	2018-11-14 14:13:12 UTC	NULL
300	30	1	**** Information search	Read literature on known production pathways and search for data in databases.	NULL		NULL	NULL	Read literature on known production pathways. -Which reactions are problematic? -What hurdles have they encountered (and how was it solved)? -Compound toxicity? -Enzyme promisquity? Databases -KEGG: pathways, reactions, cofactors, promisquity, known ko/genes, in which organisms are enzymes for those reactions known? -MetaCyc: pathways, reactions, cofactors, promisquity, known/predicted organisms, deltaG? -BRENDA: known substrates, organisms, activators, inhibitors, binding constants, pH optimum, pH tolerance, rate information, mutations	NULL	2018-11-14 14:13:12 UTC	NULL
326	300	1	***** Freedom to operate (IPR considerations)		NULL		NULL	NULL		NULL	2018-11-14 14:13:12 UTC	NULL
327	300	2	***** Known pathways in literature		NULL		NULL	NULL		NULL	2018-11-14 14:13:12 UTC	2018-11-16 08:17:04
330	300	3	***** Known pathways in reaction databases		NULL		NULL	NULL		NULL	2018-11-16 08:17:44 UTC	2018-11-16 08:19:26
328	300	4	***** Patent search	Search patent literature for similar pathways and individual modifications.	NULL		NULL	NULL		NULL	2018-11-14 14:13:12 UTC	2018-11-16 08:19:26
31	30	2	**** Computational metabolic design		NULL		NULL	NULL		NULL	2018-11-14 14:13:12 UTC	NULL
32	31	1	***** Computational product pathway design	NULL	NULL	NULL	NULL	NULL		NULL	2018-11-14 14:13:12 UTC	NULL
33	32	1	****** Enumerate pathway options (Retropath,…)		NULL		NULL	NULL	Convert RetroPath output to complete reactions. Check MetaNetX reactions for correctness and electron balancing. For every unknown cofactor, propose plausible cofactors for the chassis considered.	NULL	2018-11-14 14:13:12 UTC	NULL
34	33	1	******* Screen pathway options based on quality criteria	NULL	NULL	NULL	NULL	NULL		NULL	2018-11-14 14:13:12 UTC	NULL
321	32	2	****** Convert reaction rules to complete reactions		NULL		NULL	NULL		NULL	2018-11-14 14:13:12 UTC	NULL
322	32	3	****** Refine pathways		NULL		NULL	NULL	E.g. define cofactors where cofactors are unknown.	NULL	2018-11-14 14:13:12 UTC	NULL
35	32	4	****** Score pathways without chassis		NULL		NULL	NULL	Score pathways. Estimate e.g. membrane toxicity of pathway intermediates. Estimate thermodynamic feasibility of reactions in pathway. If necessary, use OBE to find distributed bottlenecks.	NULL	2018-11-14 14:13:12 UTC	NULL
39	35	1	******* Membrane toxicity of intermediates		NULL		NULL	NULL		NULL	2018-11-14 14:13:12 UTC	NULL
38	35	2	******* Thermodynamic feasibility verification		NULL		NULL	NULL	Use eQuilibrator if no other tool available for pH-dependent thermodynamics.	NULL	2018-11-14 14:13:12 UTC	NULL
323	35	3	******* Optimized Bottleneck Energetics		NULL		NULL	NULL	Optional	NULL	2018-11-14 14:13:12 UTC	NULL
40	31	2	***** Chassis embedment		NULL		NULL	NULL		NULL	2018-11-14 14:13:12 UTC	NULL
41	40	1	****** Receive input from product pathway design		NULL		NULL	NULL		NULL	2018-11-14 14:13:12 UTC	NULL
42	40	2	****** Map metabolites between pathway and chassis		NULL		NULL	NULL		NULL	2018-11-14 14:13:12 UTC	NULL
36	40	3	****** Add production pathway to chassis SBML in silico		NULL		NULL	NULL	Add pathway to SBML for chassis. Match pathway metabolites to chassis metabolites. Verify matches by structural comparison. Also check stereochemistry. Prefer starting pathways from cytosolic metabolites. If pathway generates side products, i.e. compounds that aren't chassis metabolites, find the reactions that connects them to the metabolic network of the chassis.	NULL	2018-11-14 14:13:12 UTC	NULL
316	40	4	****** Fill metabolic gaps		NULL		NULL	NULL		NULL	2018-11-14 14:13:12 UTC	NULL
37	40	5	****** Screen potential substrates in silico		NULL		NULL	NULL		NULL	2018-11-14 14:13:12 UTC	NULL
44	40	6	****** Screen growth conditions		NULL		NULL	NULL	Anaerobic, aerobic, peroxisome active/inactive, etc.	NULL	2018-11-14 14:13:12 UTC	NULL
45	40	7	****** Growth-product coupling. (e.g. OptKnock, RobustKnock, Minimal Cut Sets)		NULL		NULL	NULL		NULL	2018-11-14 14:13:12 UTC	NULL
49	40	8	****** Calculate expected yields		NULL		NULL	NULL	Check that oxygen consumption is reasonable. VTT has a SOP	NULL	2018-11-14 14:13:12 UTC	NULL
317	40	9	****** Estimate productivities		NULL		NULL	NULL		NULL	2018-11-14 14:13:12 UTC	NULL
324	31	3	***** Evaluate and choose pathways		NULL		NULL	NULL		NULL	2018-11-14 14:13:12 UTC	NULL
52	30	3	**** Genetic design for chassis		NULL		NULL	NULL	The remaining tasks relating to enzyme design could be moved to enzyme design.	NULL	2018-11-14 14:13:12 UTC	NULL
43	52	1	***** Check for native enzymes with activity for heterologous metabolites		NULL		NULL	NULL	(e.g. genome re-annotation, literature search. Find the enzymes of the metabolites from the reference databases, and look in the genome whether homologous enzymes exist natively).	NULL	2018-11-14 14:13:12 UTC	NULL
72	43	1	****** Genome reannotation		NULL		NULL	NULL		NULL	2018-11-14 14:13:12 UTC	NULL
46	43	2	****** Search for native homologues of enzymes acting on the heterologous metabolites		NULL		NULL	NULL		NULL	2018-11-14 14:13:12 UTC	NULL
50	52	2	***** Additional trait design		NULL		NULL	NULL		NULL	2018-11-14 14:13:12 UTC	NULL
47	50	1	****** Propose desirable traits		NULL		NULL	NULL		NULL	2018-11-14 14:13:12 UTC	NULL
51	50	2	****** Bioprospecting for traits		NULL		NULL	NULL		NULL	2018-11-14 14:13:12 UTC	NULL
48	52	3	***** Pathway improvement by mutations, supporting/auxiliary pathways, enzymes/cofactor specificity, genetic modifications		NULL		NULL	NULL		NULL	2018-11-14 14:13:12 UTC	NULL
71	52	4	***** Select promoter types		NULL		NULL	NULL		NULL	2018-11-14 14:13:12 UTC	NULL
54	52	5	***** Evaluate and choose strains		NULL		NULL	NULL		NULL	2018-11-14 14:13:12 UTC	NULL
325	52	6	***** Describe genetic constructs in SBOL format		NULL		NULL	NULL		NULL	2018-11-14 14:13:12 UTC	NULL
74	30	4	**** Store the list of enzyme functions		NULL		NULL	NULL		NULL	2018-11-14 14:13:12 UTC	NULL
318	30	5	**** Store the list of gene deletions		NULL		NULL	NULL		NULL	2018-11-14 14:13:12 UTC	NULL
319	30	6	**** Store the list of genotypes		NULL		NULL	NULL		NULL	2018-11-14 14:13:12 UTC	NULL
320	30	7	**** Store the list of promoter types		NULL		NULL	NULL		NULL	2018-11-14 14:13:12 UTC	NULL
73	29	2	*** Select and/or design enzyme		NULL		NULL	NULL	This should serve also enzyme screening and protein production; should be expanded if these other applications are relevant. #EnzymeDesign.	NULL	2018-11-14 14:13:12 UTC	NULL
75	73	1	**** TODO write the steps @INRA		NULL		NULL	NULL		NULL	2018-11-14 14:13:12 UTC	NULL
307	73	2	**** Retrieve the list of enzyme functions		NULL		NULL	NULL		NULL	2018-11-14 14:13:12 UTC	NULL
56	73	3	**** Generate candidate sequences (Enzyme search)		NULL		NULL	NULL	#RoundRobinNeeded but comparison difficult	NULL	2018-11-14 14:13:12 UTC	NULL
58	73	4	**** Function-based in silico screening of candidate sequences		NULL		NULL	NULL		NULL	2018-11-14 14:13:12 UTC	NULL
55	73	5	**** Choose enzyme sequences		NULL		NULL	NULL		NULL	2018-11-14 14:13:12 UTC	NULL
57	73	6	**** Optimize gene sequences		NULL		NULL	NULL		NULL	2018-11-14 14:13:12 UTC	NULL
59	73	7	**** Remove mobile regulatory elements		NULL		NULL	NULL		NULL	2018-11-14 14:13:12 UTC	NULL
60	73	8	**** Send list of gene additions		NULL		NULL	NULL		NULL	2018-11-14 14:13:12 UTC	NULL
301	29	3	*** Design DNA constructs for expression host		NULL		NULL	NULL	Applies equally to production strains, enzyme screening hosts, and protein production hosts.	NULL	2018-11-14 14:13:12 UTC	NULL
53	301	1	**** Freedom to operate with regards to the tools #IPRConsiderations		NULL		NULL	NULL		NULL	2018-11-14 14:13:12 UTC	NULL
308	301	2	**** Retrieve the list of gene deletions		NULL		NULL	NULL		NULL	2018-11-14 14:13:12 UTC	NULL
309	301	3	**** Retrieve the list of gene additions		NULL		NULL	NULL		NULL	2018-11-14 14:13:12 UTC	NULL
310	301	4	**** Retrieve the list of promoter types		NULL		NULL	NULL	All cargo defined earlier based on modeling desired phenotype.	NULL	2018-11-14 14:13:12 UTC	NULL
311	301	5	**** Select promoters		NULL		NULL	NULL	May be combinatorial.	NULL	2018-11-14 14:13:12 UTC	NULL
312	301	6	**** Select integration sites/loci		NULL		NULL	NULL	May be combinatorial.	NULL	2018-11-14 14:13:12 UTC	NULL
61	301	7	**** Select genome editing strategy		NULL		NULL	NULL		NULL	2018-11-14 14:13:12 UTC	NULL
62	61	1	***** CRISPR/Cas9 #SopNeeded	NULL	NULL	NULL	NULL	NULL		NULL	2018-11-14 14:13:12 UTC	NULL
63	61	2	***** MAGE: genome engineering #SopNeeded	NULL	NULL	NULL	NULL	NULL		NULL	2018-11-14 14:13:12 UTC	NULL
313	301	8	**** Select vectors/plasmids/DNA constructs		NULL		NULL	NULL		NULL	2018-11-14 14:13:12 UTC	NULL
64	301	9	**** Select vector assembly strategy		NULL		NULL	NULL		NULL	2018-11-14 14:13:12 UTC	NULL
65	64	1	***** SEVA/METABRICK, Moclo, Gibson pathway engineering @Wageningen	NULL	NULL	NULL	NULL	NULL		NULL	2018-11-14 14:13:12 UTC	NULL
66	65	1	****** #TODO add the list of tasks needed #ToBeReviewed	NULL	NULL	NULL	NULL	NULL		NULL	2018-11-14 14:13:12 UTC	NULL
67	64	2	***** Vector, promoter selection, plasmids, locus of integration, restriction sites, etc (cloning strategy) #SopNeeded	NULL	NULL	NULL	NULL	NULL		NULL	2018-11-14 14:13:12 UTC	NULL
68	64	3	***** Combinatorial assembly strategy #SopNeeded	NULL	NULL	NULL	NULL	NULL		NULL	2018-11-14 14:13:12 UTC	NULL
314	301	10	**** List DNA fragments to order		NULL		NULL	NULL		NULL	2018-11-14 14:13:12 UTC	NULL
69	301	11	**** Describe genetic constructs in SBOL format		NULL		NULL	NULL		NULL	2018-11-14 14:13:12 UTC	NULL
70	69	1	***** Deposit to a database that we are to create #ToBeReviewed	NULL	NULL	NULL	NULL	NULL		NULL	2018-11-14 14:13:12 UTC	NULL
315	301	12	**** Send strain designs to Build		NULL		NULL	NULL		NULL	2018-11-14 14:13:12 UTC	NULL
302	29	4	*** Design growth medium and cultivation conditions		NULL		NULL	NULL		NULL	2018-11-14 14:13:12 UTC	NULL
304	302	1	**** Receive list of genotypes		NULL		NULL	NULL		NULL	2018-11-14 14:13:12 UTC	NULL
303	302	2	**** Design experiments to test phenotype		NULL		NULL	NULL	The Build task will make sure the genotype is correct.	NULL	2018-11-14 14:13:12 UTC	NULL
305	302	3	**** Send list of growth media and cultivation conditions to Test		NULL		NULL	NULL		NULL	2018-11-14 14:13:12 UTC	NULL
306	302	4	**** Send predicted clone behavior to Test		NULL		NULL	NULL		NULL	2018-11-14 14:13:12 UTC	NULL
76	22	5	** Criteria for successful outcome of #Design (Criteria to be available as check list table)		NULL		NULL	NULL	This could be a "SOP"	NULL	2018-11-14 14:13:12 UTC	2019-03-22 11:35:33
77	76	1	*** Calculation of theoretical yields/productivities carried out	NULL	NULL	NULL	NULL	NULL		NULL	2018-11-14 14:13:12 UTC	NULL
